address,house type,# of beds,# of baths,price,,
266 - 580 Beaver Creek Road,House,2,1,$95 000,,
#N-2204 -330 Phillip St,Condo,4,3,$549 000,,
#1515 -258 Sunview St,Condo,2,1,$345 990,,
212 - 188 King Street,Condo,2,2,$424 900,,
284 Old Post Road,House,6,4,$869 000,,
196b Cavelletti Crt,House,4,3,$489 900,,
812 Sundrops Court,House,4,4,$1 159 900,,
#G203 -275 Larch St,Condo,1,1,$279 900,,
497 Lorindale St,House,4,4,$1 090 000,,
16 John Street E,House,4,4,$999 900,,
#722 -280 Lester St,Condo,2,2,$345 000,,
Lot 103 Chestnut Ridge,House,4,3,$1 285 000,,
#103 -288 Albert St,Townhouse,4,3,$499 900,,
405 - 223 Erb Street W,Condo,2,2,$459 800,,
214 Spring Garden Dr,House,3,3,$869 000,,
283 Whitmore Drive,House,3,4,$750 000,,
#518 -257 Hemlock St,Condo,1,1,$360 000,,
20 Academy Crescent,House,5,4,$799 900,,
805 - 318 Spruce Street,Condo,2,2,$360 000,,
#101h -275 Larch St,Condo,3,2,$387 000,,
158 Mountain Holly Court,House,4,3,$856 900,,
Lot 9 Chestnut Ridge,House,4,4,$1 519 900,,
Lot 102 Chestnut Ridge,House,4,3,$1 245 900,,
22-12 Bridgeport Road East,Condo,5,2,$369 900,,
40 Cardill Cres,House,8,3,$639 000,,
#113 -288 Albert St,Townhouse,4,3,$529 880,,
#B 408 -62 Balsam St,Condo,1,2,$334 000,,
#T112 -62 Balsam St N,Townhouse,5,3,$455 000,,
#624 -330 Phillip St,Condo,3,2,$449 900,,
#1406 -318 Spruce St,Condo,2,2,$315 900,,
#616 -308 Lester St,Condo,1,1,$295 000,,
#510 -257 Hemlock St,Condo,1,1,$399 000,,
#521 -251 Hemlock St,Condo,2,2,$339 000,,
#F-207 -275 Larch St,Condo,2,2,$384 900,,
3 - 243 Grey Silo Road,Townhouse,2,2,$599 900,,
222 Ladyslipper Drive,House,4,3,$799 449,,
#102 -321 Spruce St,Condo,2,2,$599 000,,
342 King Street N,House,3,2,$988 999,,
