address, house type, # of beds, # of baths, price
F-208 - 275 Larch Street,Condo,1,2,$369 900
#1606 -318 Spruce St,Condo,2,2,$315 000
43 Young St W,House,5,4,$950 000
656 Indian Grass Street,House,3,3,$699 900
#301 -392 Albert St,Condo,5,5,$625 000
305 - 253 Albert Street,Condo,2,2,$379 900
417 - 308 Lester Street,Condo,1,1,$280 000
266 - 580 Beaver Creek Road,House,2,1,$95 000
#N-2204 -330 Phillip St,Condo,4,3,$549 000
#1515 -258 Sunview St,Condo,2,1,$345 990
212 - 188 King Street,Condo,2,2,$424 900
